Story_ID,Epic,Title,Priority,Gherkin_Tags,Playwright_Ref,API_REST_Assured_Ref,Manual_Only_Notes
US-DIS-001,EP-DISCOVERY,View localized home and navigation,P0,,smoke/storefront-home.spec.ts; smoke/storefront-navigation.spec.ts,,Optional visual check breakpoints
US-DIS-002,EP-DISCOVERY,Browse shop and category product listings,P0,,smoke/storefront-shop.spec.ts; e2e/shop-filter-to-cart.spec.ts,CategoriesTreeGetTest.java; CategoryProductsGetTest.java,Large catalog edge cases in admin
US-DIS-003,EP-DISCOVERY,Open product detail from slug,P0,,smoke/storefront-pdp.spec.ts; e2e/order-cod-free-shipping.spec.ts,ProductBySlugGetTest.java,
US-DIS-004,EP-DISCOVERY,Search and sort catalog,P1,,smoke/storefront-search.spec.ts; e2e/search-and-shop-to-cart.spec.ts,ProductsListGetTest.java,Sort permutations in UI
US-CART-001,EP-CART,Add line to cart from PDP,P0,,smoke/storefront-add-to-cart-drawer.spec.ts; e2e/cart-qty-and-remove.spec.ts; e2e/order-cod-free-shipping.spec.ts,,Cart persistence after refresh
US-CART-002,EP-CART,Guest checkout shipping quote,P0,,e2e/order-cod-free-shipping.spec.ts,ShippingQuotePostTest.java,Carrier-specific totals
US-CART-003,EP-CART,Promo code,P1,,,,Promo matrix in admin; POST /api/checkout promo path
US-PAY-001,EP-PAY,Cash on delivery order,P0,@checkout @guest @cod,e2e/order-cod-free-shipping.spec.ts,CheckoutPostValidationTest.java,
US-PAY-002,EP-PAY,CMI card flow,P0,,,,CMI sandbox browser flow; API: CmiCallbackGetTest.java covers callback route shape
US-POST-001,EP-POST,Thank you page reference,P0,,e2e/order-cod-free-shipping.spec.ts,OrderConfirmationGetTest.java,
US-I18N-001,EP-I18N,FR/EN storefront,P0,,e2e/locale-switch.spec.ts; e2e/currency-switch.spec.ts; Playwright projects fr+en,,Marketing copy review FR/EN
US-I18N-002,EP-I18N,Brand from API,P1,,,,BrandGetTest.java; logo formats on devices
US-API-001,EP-API,Products list contract,P0,,,ProductsListGetTest.java,
US-API-002,EP-API,Checkout validation,P0,,,CheckoutPostValidationTest.java,Security fuzz POST /api/checkout
US-API-003,EP-API,Contact intake,P2,,smoke/storefront-contact.spec.ts; e2e/contact-form-submit.spec.ts,ContactPostValidationTest.java,Spam rate-limit behaviour
US-ADM-001,EP-ADMIN,Admin login,P0,,,AdminLoginPostTest.java,Admin UI smoke beyond API
US-ADM-002,EP-ADMIN,Products and stock,P0,,,,Admin product routes; no Playwright admin pack yet
US-ADM-003,EP-ADMIN,Orders operations,P1,,,,GET/PUT /api/admin/orders; export large CSV
US-ADM-004,EP-ADMIN,Shipping and settings,P1,,,,shipping-methods; settings; role admin.full
US-QA-001,EP-QUALITY,CI pipeline,P0,,Jenkinsfile,QA/api Maven; QA/playwright npm,
US-QA-002,EP-QUALITY,Traceability,this file,,,,Process artifact — exempt from automation column
US-QA-003,EP-QUALITY,Staging parity,P1,,Env PLAYWRIGHT_* in playwright.config,,DNS TLS cookies real hosts
